Details,Posting Date,Description,Amount,Type,Account Head,Statement
DEBIT,26/6/2023,ORIG CO NAME:CHASE CREDIT CRD       ORIG ID:4760039224 DESC DATE:230625 CO ENTRY DESCR:AUTOPAYBUSSEC:PPD    TRACE#:021000023523983 EED:230626   IND ID:                             IND NAME:SIVARAJU VIJAY TRN: 1773523983TC,-6882.96,ACH_DEBIT,Credit Card Repayment,Balance Sheet
DEBIT,26/7/2023,ORIG CO NAME:CHASE CREDIT CRD       ORIG ID:4760039224 DESC DATE:230725 CO ENTRY DESCR:AUTOPAY   SEC:PPD    TRACE#:021000024286869 EED:230726   IND ID:                             IND NAME:RAO VIJAY P TRN: 2074286869TC,-766.38,ACH_DEBIT,Credit Card Repayment,Balance Sheet
DEBIT,26/7/2023,ORIG CO NAME:CHASE CREDIT CRD       ORIG ID:4760039224 DESC DATE:230725 CO ENTRY DESCR:AUTOPAYBUSSEC:PPD    TRACE#:021000024287613 EED:230726   IND ID:                             IND NAME:SIVARAJU VIJAY TRN: 2074287613TC,-9701.48,ACH_DEBIT,Credit Card Repayment,Balance Sheet
DEBIT,29/8/2023,ORIG CO NAME:CHASE CREDIT CRD       ORIG ID:4760039224 DESC DATE:230825 CO ENTRY DESCR:AUTOPAY   SEC:PPD    TRACE#:021000026199084 EED:230828   IND ID:                             IND NAME:RAO VIJAY P TRN: 2406199084TC,-895.27,ACH_DEBIT,Credit Card Repayment,Balance Sheet
DEBIT,29/8/2023,ORIG CO NAME:CHASE CREDIT CRD       ORIG ID:4760039224 DESC DATE:230825 CO ENTRY DESCR:AUTOPAYBUSSEC:PPD    TRACE#:021000026200794 EED:230828   IND ID:                             IND NAME:SIVARAJU VIJAY TRN: 2406200794TC,-19123.92,ACH_DEBIT,Credit Card Repayment,Balance Sheet
DEBIT,26/9/2023,ORIG CO NAME:CHASE CREDIT CRD       ORIG ID:4760039224 DESC DATE:230925 CO ENTRY DESCR:AUTOPAY   SEC:PPD    TRACE#:021000029323917 EED:230926   IND ID:                             IND NAME:RAO VIJAY P TRN: 2699323917TC,-4803.18,ACH_DEBIT,Credit Card Repayment,Balance Sheet
DEBIT,26/9/2023,ORIG CO NAME:CHASE CREDIT CRD       ORIG ID:4760039224 DESC DATE:230925 CO ENTRY DESCR:AUTOPAYBUSSEC:PPD    TRACE#:021000029324747 EED:230926   IND ID:                             IND NAME:SIVARAJU VIJAY TRN: 2699324747TC,-19634.59,ACH_DEBIT,Credit Card Repayment,Balance Sheet
DEBIT,26/10/2023,ORIG CO NAME:CHASE CREDIT CRD       ORIG ID:4760039224 DESC DATE:231025 CO ENTRY DESCR:AUTOPAY   SEC:PPD    TRACE#:021000020223056 EED:231026   IND ID:                             IND NAME:RAO VIJAY P TRN: 2990223056TC,-1928.69,ACH_DEBIT,Credit Card Repayment,Balance Sheet
DEBIT,26/10/2023,ORIG CO NAME:CHASE CREDIT CRD       ORIG ID:4760039224 DESC DATE:231025 CO ENTRY DESCR:AUTOPAYBUSSEC:PPD    TRACE#:021000020223891 EED:231026   IND ID:                             IND NAME:SIVARAJU VIJAY TRN: 2990223891TC,-15286.41,ACH_DEBIT,Credit Card Repayment,Balance Sheet
DEBIT,26/12/2023,ORIG CO NAME:CHASE CREDIT CRD       ORIG ID:4760039224 DESC DATE:231225 CO ENTRY DESCR:AUTOPAY   SEC:PPD    TRACE#:021000020260796 EED:231226   IND ID:                             IND NAME:RAO VIJAY P TRN: 3600260796TC,-248.23,ACH_DEBIT,Credit Card Repayment,Balance Sheet
DEBIT,23/2/2023,ORIG CO NAME:CHASE CREDIT CRD       ORIG ID:5760039224 DESC DATE:230223 CO ENTRY DESCR:EPAY ONUS SEC:WEB    TRACE#:021000020531909 EED:230223   IND ID:6528906660                   IND NAME:VIJAY PRABHAKARA RAO S TRN: 0540531909TC,-5000,ACH_DEBIT,Credit Card Repayment,Balance Sheet
DEBIT,1/3/2023,Payment to Chase card ending in 0721 01/03,-5000,ACCT_XFER,Credit Card Repayment,Balance Sheet
DEBIT,1/9/2023,Payment to Chase card ending in 0721 01/09,-5000,ACCT_XFER,Credit Card Repayment,Balance Sheet
DEBIT,1/11/2023,Payment to Chase card ending in 0721 01/11,-6000,ACCT_XFER,Credit Card Repayment,Balance Sheet
DEBIT,23/1/2023,Payment to Chase card ending in 0721 01/23,-5000,ACCT_XFER,Credit Card Repayment,Balance Sheet
DEBIT,16/2/2023,Payment to Chase card ending in 0721 02/16,-5000,ACCT_XFER,Credit Card Repayment,Balance Sheet
DEBIT,23/3/2023,Payment to Chase card ending in 0721 03/23,-10000,ACCT_XFER,Credit Card Repayment,Balance Sheet
DEBIT,4/7/2023,Payment to Chase card ending in 0721 04/07,-10000,ACCT_XFER,Credit Card Repayment,Balance Sheet
DEBIT,17/4/2023,Payment to Chase card ending in 0721 04/17,-10000,ACCT_XFER,Credit Card Repayment,Balance Sheet
DEBIT,24/4/2023,Payment to Chase card ending in 0721 04/24,-10000,ACCT_XFER,Credit Card Repayment,Balance Sheet
DEBIT,5/5/2023,Payment to Chase card ending in 0721 05/05,-10000,ACCT_XFER,Credit Card Repayment,Balance Sheet
DEBIT,5/12/2023,Payment to Chase card ending in 0721 05/12,-10000,ACCT_XFER,Credit Card Repayment,Balance Sheet
DEBIT,22/5/2023,Payment to Chase card ending in 0721 05/22,-10000,ACCT_XFER,Credit Card Repayment,Balance Sheet
DEBIT,31/5/2023,Payment to Chase card ending in 0721 05/31,-10000,LOAN_PMT,Credit Card Repayment,Balance Sheet
DEBIT,6/7/2023,Payment to Chase card ending in 0721 06/07,-10000,LOAN_PMT,Credit Card Repayment,Balance Sheet
DEBIT,20/6/2023,Payment to Chase card ending in 0721 06/20,-10000,LOAN_PMT,Credit Card Repayment,Balance Sheet
DEBIT,7/5/2023,Payment to Chase card ending in 0721 07/05,-10000,LOAN_PMT,Credit Card Repayment,Balance Sheet
DEBIT,17/7/2023,Payment to Chase card ending in 0721 07/17,-10000,LOAN_PMT,Credit Card Repayment,Balance Sheet
DEBIT,15/8/2023,Payment to Chase card ending in 0721 08/15,-10000,LOAN_PMT,Credit Card Repayment,Balance Sheet
DEBIT,16/11/2023,Payment to Chase card ending in 7356 11/24,-16815.48,LOAN_PMT,Credit Card Repayment,Balance Sheet
DEBIT,26/12/2023,Payment to Chase card ending in 7356 12/26,-19575.13,LOAN_PMT,Credit Card Repayment,Balance Sheet
DEBIT,15/11/2023,Payment to Chase card ending in 9138 11/24,-9673.8,LOAN_PMT,Credit Card Repayment,Balance Sheet
DEBIT,6/5/2023,Zelle payment to Aditya Shanghavi  17541075533,-1500,QUICKPAY_DEBIT,Salaries & Wages,Profit and Loss
DEBIT,27/4/2023,Zelle payment to Amitesh Dhanekula JPM999vt8sbe,-5000,CHASE_TO_PARTNERFI,Salaries & Wages,Profit and Loss
DEBIT,6/2/2023,Zelle payment to Archit Agarwal 17514323689,-3500,QUICKPAY_DEBIT,Salaries & Wages,Profit and Loss
DEBIT,6/2/2023,Zelle payment to Nitin Jain 17514347417,-2500,QUICKPAY_DEBIT,Salaries & Wages,Profit and Loss
DEBIT,6/2/2023,Zelle payment to Shubham Agarwal 17514326455,-3500,QUICKPAY_DEBIT,Salaries & Wages,Profit and Loss
DEBIT,17/4/2023,Zelle payment to Srinivas Gandla JPM999ve5l8w,-1530,CHASE_TO_PARTNERFI,Salaries & Wages,Profit and Loss
CREDIT,14/2/2023,ORIG CO NAME:Shopify                ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000010354850 EED:230214   IND ID:ST-S1M6E7V3R9J8              IND NAME:ECOM CONSULTING TRN: 0450354850TC,1.63,ACH_CREDIT,Sales,Profit and Loss
CREDIT,25/9/2023,ORIG CO NAME:Shopify Powerpup       ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000016543574 EED:230922   IND ID:ST-R3K2H1F4T3S6              IND NAME:ECOMCONSULTING LLC TRN: 2656543574TC,4.58,ACH_CREDIT,Sales,Profit and Loss
CREDIT,25/9/2023,ORIG CO NAME:Shopify Absolut        ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000016541039 EED:230922   IND ID:ST-V5U2Q9S0L8I9              IND NAME:VIJAY SIVARAJU TRN: 2656541039TC,9.35,ACH_CREDIT,Sales,Profit and Loss
CREDIT,29/6/2023,ORIG CO NAME:Shopify Furcools       ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000013882718 EED:230629   IND ID:ST-F5S0I9F9P8S8              IND NAME:VIJAY SIVARAJU TRN: 1803882718TC,21.51,ACH_CREDIT,Sales,Profit and Loss
CREDIT,16/10/2023,ORIG CO NAME:Shopify Absolut        ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000012302590 EED:231013   IND ID:ST-A1Q9Y2J5O6U1              IND NAME:VIJAY SIVARAJU TRN: 2862302590TC,24.04,ACH_CREDIT,Sales,Profit and Loss
CREDIT,8/3/2023,ORIG CO NAME:Shopify ToyTrave       ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000011570135 EED:230803   IND ID:ST-M7F8L8S0L2F9              IND NAME:ECOM CONSULTING TRN: 2151570135TC,25.59,ACH_CREDIT,Sales,Profit and Loss
CREDIT,18/7/2023,ORIG CO NAME:Shopify ToyTrave       ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000017043294 EED:230718   IND ID:ST-C6T7G4Y3B0Y5              IND NAME:ECOM CONSULTING TRN: 1997043294TC,25.59,ACH_CREDIT,Sales,Profit and Loss
CREDIT,8/8/2023,ORIG CO NAME:Shopify ToyTrave       ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000010356165 EED:230808   IND ID:ST-O1W3J2H2D6Y2              IND NAME:ECOM CONSULTING TRN: 2200356165TC,25.86,ACH_CREDIT,Sales,Profit and Loss
CREDIT,9/8/2023,ORIG CO NAME:Shopify ToyTrave       ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000018672772 EED:230908   IND ID:ST-C1B4B1F7N4W1              IND NAME:ECOM CONSULTING TRN: 2518672772TC,25.86,ACH_CREDIT,Sales,Profit and Loss
CREDIT,25/7/2023,ORIG CO NAME:Shopify ToyTrave       ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000017115761 EED:230725   IND ID:ST-D5B3E8H9D0N6              IND NAME:ECOM CONSULTING TRN: 2067115761TC,26.49,ACH_CREDIT,Sales,Profit and Loss
CREDIT,8/2/2023,ORIG CO NAME:Shopify ToyTrave       ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000015801447 EED:230802   IND ID:ST-G7J6S0K8E1A1              IND NAME:ECOM CONSULTING TRN: 2145801447TC,26.76,ACH_CREDIT,Sales,Profit and Loss
CREDIT,29/8/2023,ORIG CO NAME:Shopify ToyTrave       ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000013110325 EED:230829   IND ID:ST-T9V9F7A8H6L7              IND NAME:ECOM CONSULTING TRN: 2413110325TC,27.1,ACH_CREDIT,Sales,Profit and Loss
CREDIT,12/4/2023,ORIG CO NAME:Shopify Sopanova       ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000012317494 EED:231204   IND ID:ST-F6T1A4L0I2R8              IND NAME:ECOM CONSULTING TRN: 3382317494TC,28.52,ACH_CREDIT,Sales,Profit and Loss
CREDIT,12/12/2023,ORIG CO NAME:Shopify Sopanova       ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000016565932 EED:231212   IND ID:ST-X1U3Q6Q3I7J6              IND NAME:ECOM CONSULTING TRN: 3466565932TC,28.52,ACH_CREDIT,Sales,Profit and Loss
CREDIT,23/2/2023,ORIG CO NAME:Shopify                ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000013278524 EED:230223   IND ID:ST-I5H5Y6O0W1S4              IND NAME:VIJAY SIVARAJU TRN: 0543278524TC,28.82,ACH_CREDIT,Sales,Profit and Loss
CREDIT,12/5/2023,ORIG CO NAME:Shopify Sopanova       ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000016861360 EED:231205   IND ID:ST-Y6F1F2K0P7V9              IND NAME:ECOM CONSULTING TRN: 3396861360TC,28.82,ACH_CREDIT,Sales,Profit and Loss
CREDIT,29/9/2023,ORIG CO NAME:Shopify Soul Hug       ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000015597517 EED:230927   IND ID:ST-N5R4W1S4P0A6              IND NAME:ECOM CONSULTING TRN: 2705597517TC,28.82,ACH_CREDIT,Sales,Profit and Loss
CREDIT,29/9/2023,ORIG CO NAME:Shopify Soul Hug       ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000011817858 EED:230928   IND ID:ST-O9I7V9D6T3L8              IND NAME:ECOM CONSULTING TRN: 2711817858TC,29.14,ACH_CREDIT,Sales,Profit and Loss
CREDIT,14/2/2023,ORIG CO NAME:Shopify                ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000010376584 EED:230214   IND ID:ST-J1E2P3A9V5K3              IND NAME:ECOMCONSULTING LLC TRN: 0450376584TC,29.4,ACH_CREDIT,Sales,Profit and Loss
CREDIT,9/6/2023,ORIG CO NAME:Shopify Sopanova       ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000013095185 EED:230906   IND ID:ST-P2K1F5R4T2I9              IND NAME:ECOM CONSULTING TRN: 2493095185TC,29.49,ACH_CREDIT,Sales,Profit and Loss
CREDIT,18/10/2023,ORIG CO NAME:Shopify Sopanova       ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000012283893 EED:231017   IND ID:ST-X8S0U7Y6L5D8              IND NAME:ECOM CONSULTING TRN: 2902283893TC,29.54,ACH_CREDIT,Sales,Profit and Loss
CREDIT,27/2/2023,ORIG CO NAME:Shopify                ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000013601677 EED:230227   IND ID:ST-X9A6T8H0S3I2              IND NAME:ECOM CONSULTING TRN: 0583601677TC,31.6,ACH_CREDIT,Sales,Profit and Loss
CREDIT,28/2/2023,ORIG CO NAME:Shopify                ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000019009823 EED:230228   IND ID:ST-V9Z3H9P9H6S3              IND NAME:ECOM CONSULTING TRN: 0599009823TC,31.9,ACH_CREDIT,Sales,Profit and Loss
CREDIT,27/9/2023,ORIG CO NAME:Shopify Soul Hug       ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000016167043 EED:230926   IND ID:ST-C8F9W7J5W7V3              IND NAME:ECOM CONSULTING TRN: 2696167043TC,33.39,ACH_CREDIT,Sales,Profit and Loss
CREDIT,4/5/2023,ORIG CO NAME:Shopify                ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000018168911 EED:230405   IND ID:ST-U6M5E0T8L6C5              IND NAME:ECOM CONSULTING TRN: 0958168911TC,33.71,MISC_CREDIT,Sales,Profit and Loss
CREDIT,3/7/2023,ORIG CO NAME:Shopify                ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000011641382 EED:230307   IND ID:ST-U7C7Z3Y4D8T8              IND NAME:ECOMCONSULTING LLC TRN: 0661641382TC,37.12,ACH_CREDIT,Sales,Profit and Loss
CREDIT,1/5/2023,ORIG CO NAME:Shopify                ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000014050381 EED:230105   IND ID:ST-X9V7A4T9B3D6              IND NAME:VIJAY SIVARAJU TRN: 0054050381TC,38.13,ACH_CREDIT,Sales,Profit and Loss
CREDIT,25/10/2023,ORIG CO NAME:Shopify Sopanova       ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000012286958 EED:231024   IND ID:ST-O6B2L5G1Q2G5              IND NAME:ECOM CONSULTING TRN: 2972286958TC,38.13,ACH_CREDIT,Sales,Profit and Loss
CREDIT,1/10/2023,ORIG CO NAME:Shopify                ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000011828139 EED:230110   IND ID:ST-T7S0T4Q1N1Y8              IND NAME:VIJAY SIVARAJU TRN: 0101828139TC,38.53,ACH_CREDIT,Sales,Profit and Loss
CREDIT,15/9/2023,ORIG CO NAME:Shopify Soul Hug       ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000016701954 EED:230914   IND ID:ST-T3O0V8G2Q0D9              IND NAME:ECOM CONSULTING TRN: 2576701954TC,38.53,ACH_CREDIT,Sales,Profit and Loss
CREDIT,8/2/2023,ORIG CO NAME:Shopify Furcools       ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000015801400 EED:230802   IND ID:ST-C9Q0U8K8X7T5              IND NAME:VIJAY SIVARAJU TRN: 2145801400TC,38.56,ACH_CREDIT,Sales,Profit and Loss
CREDIT,31/7/2023,ORIG CO NAME:Shopify Absolut        ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000017602105 EED:230731   IND ID:ST-B8S3Q8V5O0G9              IND NAME:VIJAY SIVARAJU TRN: 2127602105TC,39.92,ACH_CREDIT,Sales,Profit and Loss
CREDIT,19/7/2023,ORIG CO NAME:Shopify ToyTrave       ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000012146150 EED:230719   IND ID:ST-X5R0N7G5B0Q4              IND NAME:ECOM CONSULTING TRN: 2002146150TC,43.06,ACH_CREDIT,Sales,Profit and Loss
CREDIT,1/6/2023,ORIG CO NAME:Shopify                ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000016935856 EED:230106   IND ID:ST-H0V5I3Y6Y7N0              IND NAME:VIJAY SIVARAJU TRN: 0066935856TC,43.07,ACH_CREDIT,Sales,Profit and Loss
CREDIT,28/7/2023,ORIG CO NAME:Shopify ToyTrave       ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000015766558 EED:230728   IND ID:ST-V8I1Q7E3F2B3              IND NAME:ECOM CONSULTING TRN: 2095766558TC,43.39,ACH_CREDIT,Sales,Profit and Loss
CREDIT,14/9/2023,ORIG CO NAME:Shopify Absolut        ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000016108651 EED:230913   IND ID:ST-N3S5E9L9N9W8              IND NAME:VIJAY SIVARAJU TRN: 2566108651TC,43.52,ACH_CREDIT,Sales,Profit and Loss
CREDIT,5/3/2023,ORIG CO NAME:Shopify Absolut        ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000015532974 EED:230503   IND ID:ST-B7E2U7J1R2P1              IND NAME:VIJAY SIVARAJU TRN: 1235532974TC,46.46,ACH_CREDIT,Sales,Profit and Loss
CREDIT,27/4/2023,ORIG CO NAME:Shopify Furcools       ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000014387636 EED:230427   IND ID:ST-S8N8H0R3U5X9              IND NAME:VIJAY SIVARAJU TRN: 1174387636TC,47.39,ACH_CREDIT,Sales,Profit and Loss
